"opponent","State","Enrollment"
"Worcester St.","MA",3354
"WPI","MA",3075
"Bard","NY",1876
"Baruch","NY",10363
"Brockport","NY",6255
"Cazenovia","NY",938
"CCNY","NY",8146
"Clarkson","NY",2579
"SUNY Cortland","NY",5963
"Elmira","NY",1154
"Farmingdale St.","NY",4455
"Fredonia","NY",4658
"Houghton","NY",1084
"Ithaca","NY",6147
"John Jay","NY",10269
"Keuka","NY",1347
"Lehman","NY",5559
"Merchant Marine","NY",968
"Mt. St. Mary (NY)","NY",1563
"CMSV","NY",1310
"NYU","NY",20950
"Oswego St.","NY",6537
"Plattsburgh St.","NY",5028
"RIT","NY",12373
"Rochester (NY)","NY",5081
"Rensselaer","NY",5357
"Skidmore","NY",2249
"St. John Fisher","NY",2660
"St. Joseph's (Brkln)","NY",524
"St. Joseph's (L.I.)","NY",2487
"St. Lawrence","NY",2187
"Stevens","NJ",1755
"SUNY New Paltz","NY",5788
"SUNY Oneonta","NY",5241
"SUNY Poly","NY",1285
"SUNY Canton","NY",2952
"Cobleskill St.","NY",2801
"SUNY Maritime","NY",1446
"Old Westbury","NY",2340
"Purchase","NY",3174
"Union (NY)","NY",2192
"Utica","NY",2032
"Vassar","NY",2377
"Wells","NY",519
"Yeshiva","NY",1215
"Austin","TX",1249
"Belhaven","MS",1241
"Cal Lutheran","CA",2001
"Caltech","CA",913
"Centenary (LA)","LA",571
"Chapman","CA",4069
"Claremont-M-S","CA",2873
"Concordia (TX)","TX",820
"East Tex. Baptist","TX",1093
"George Fox","OR",2108
"Hardin-Simmons","TX",1743
"Howard Payne","TX",1042
"La Verne","CA",2373
"LeTourneau","TX",1329
"Lewis & Clark","OR",1911
"Linfield","OR",1659
"Louisiana Col.","LA",813
"Mary Hardin-Baylor","TX",2202
"McMurry","TX",1205
"Occidental","CA",1826
"Pacific Lutheran","WA",3109
"Pacific (OR)","OR",1402
"Pomona-Pitzer","CA",2515
"Puget Sound","WA",2536
"Redlands","CA",2786
"Schreiner","TX",743
"Southwestern (TX)","TX",1237
"Sul Ross St.","TX",1285
"Texas Lutheran","TX",1360
"Texas-Dallas","TX",5354
"Trinity (TX)","TX",2439
"Dallas","TX",1255
"Ozarks (AR)","AR",545
"Whitman","WA",1445
"Whittier","CA",1366
"Whitworth","WA",2116
"Willamette","OR",1746
